variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
4-omp-stream,4,640,5,0,6.4687,6.5548,6.7137,3.7,500,H100,01,0.0131096,0.0123076,0.9388234576188441,0.23470586440471103,0.005080473231360284,0.3875383864771071,0.23470586440471103,False
4-omp-stream,4,768,5,0,14.7693,15.0232,15.1328,2.4,501,H100,01,0.02998642714570858,0.02731437125748503,0.9108911550135791,0.22772278875339477,0.01143754526736877,0.3814240760258636,0.22772278875339477,False
4-omp-stream,4,896,5,0,21.7157,21.8219,21.9213,0.9,501,H100,01,0.043556686626746506,0.043149101796407185,0.9906424280195584,0.2476606070048896,0.01635587315058926,0.3755077444422905,0.2476606070048896,False
4-omp-stream,4,1024,5,0,36.3913,36.5629,36.7915,1.1,501,H100,01,0.07297984031936128,0.06916706586826347,0.9477557852358538,0.23693894630896345,0.027244450185249337,0.37331474097541273,0.23693894630896345,False
4-omp-stream,4,1152,5,0,52.1266,52.3881,52.8019,1.3,500,H100,01,0.1047762,0.099233,0.9470948555110799,0.23677371387776996,0.039355387199349126,0.37561380541906586,0.23677371387776996,False
4-omp-stream,4,1280,5,0,63.8658,65.1034,65.7767,2.9,500,H100,01,0.13020679999999998,0.13134780000000001,1.0087629831928904,0.2521907457982226,0.04889357870096748,0.3755071063951152,0.2521907457982226,False
4-omp-stream-omp,4,512,5,0,1.1703,1.1706,1.2017,2.7,501,H100,01,0.002336526946107785,0.007325548902195609,3.13522979668546,0.783807449171365,0.0024912463352778614,1.066217678091755,0.6723057184750733,True
4-omp-stream-omp,4,640,5,0,1.5037,1.5275,1.5511,3.1,500,H100,01,0.003055,0.0123076,4.028674304418986,1.0071685761047464,0.0031036289528384056,1.015917824169691,0.9388484811441843,True
4-omp-stream-omp,4,768,5,0,3.6613,3.6915,3.7133,1.4,501,H100,01,0.007368263473053892,0.02731437125748503,3.7070296627387243,0.9267574156846811,0.0072233713944072015,0.9803356545030497,0.9114662203448367,True
4-omp-stream-omp,4,896,5,0,5.2111,5.2401,5.3196,2.1,501,H100,01,0.010459281437125748,0.043149101796407185,4.125436537470659,1.0313591343676647,0.010331839733035555,0.9878154436462688,0.9893425054043162,True
4-omp-stream-omp,4,1024,5,0,8.7149,8.8583,8.9698,2.9,501,H100,01,0.0176812375249501,0.06916706586826347,3.9118905433322424,0.9779726358330606,0.017203091198538085,0.9729574173901968,0.96980198019802,True
4-omp-stream-omp,4,1152,5,0,12.6819,12.7796,13.0664,3.0,500,H100,01,0.0255592,0.099233,3.8824767598359884,0.9706191899589971,0.024896575072765808,0.9740748956448483,0.9650437972656827,True
